address,city,constraints_date,eviction_id,file_date,state,supervisor_district,zip,eviction_reason,latitude,longitude
500 Block Of Ofarrell  Street,San Francisco,,M182025,2018-07-06T00:00:00.000,CA,6.0,94102.0,Nuisance,-122.416017227272,37.773939264637
500 Block Of 8th  Avenue,San Francisco,,M180210,2018-01-25T00:00:00.000,CA,1.0,94118.0,Owner Move In,-122.416017227272,37.773939264637
400 Block Of Minna  Street,San Francisco,,M182029,2018-07-05T00:00:00.000,CA,6.0,94103.0,Breach,-122.416017227272,37.773939264637
800 Block Of Russia  Avenue,San Francisco,,M181961,2018-06-29T00:00:00.000,CA,11.0,94112.0,Nuisance,-122.416017227272,37.773939264637
2000 Block Of Ocean  Avenue,San Francisco,,M182008,2018-07-05T00:00:00.000,CA,7.0,94127.0,Ellis Act Withdrawal,-122.416017227272,37.773939264637
0 Block Of Grafton  Avenue,San Francisco,2023-08-21T00:00:00.000,M181944,2018-07-03T00:00:00.000,CA,11.0,94112.0,Owner Move In,-122.416017227272,37.773939264637
400 Block Of 14th  Avenue,San Francisco,,M180251,2018-01-29T00:00:00.000,CA,1.0,94118.0,Owner Move In,-122.416017227272,37.773939264637
1300 Block Of Market  Street,San Francisco,,M182003,2018-07-02T00:00:00.000,CA,6.0,94102.0,Capital Improvement,-122.416017227272,37.773939264637
700 Block Of Vienna  Street,San Francisco,,M182048,2018-07-09T00:00:00.000,CA,11.0,94112.0,Breach,-122.416017227272,37.773939264637
0 Block Of Rae  Avenue,San Francisco,,M181308,2018-04-26T00:00:00.000,CA,11.0,94112.0,Owner Move In,-122.416017227272,37.773939264637
2700 Block Of Clay  Street,San Francisco,,M181980,2018-06-29T00:00:00.000,CA,2.0,94115.0,Ellis Act Withdrawal,-122.416017227272,37.773939264637
3600 Block Of 20th  Street,San Francisco,,M182036,2018-07-05T00:00:00.000,CA,8.0,94110.0,Capital Improvement,-122.416017227272,37.773939264637
100 Block Of Julian  Avenue,San Francisco,,M182044,2018-07-09T00:00:00.000,CA,9.0,94103.0,Nuisance,-122.416017227272,37.773939264637
400 Block Of 27th  Street,San Francisco,,M181978,2018-06-29T00:00:00.000,CA,8.0,94131.0,Ellis Act Withdrawal,-122.416017227272,37.773939264637
1300 Block Of Market  Street,San Francisco,,M182001,2018-07-02T00:00:00.000,CA,6.0,94102.0,Capital Improvement,-122.416017227272,37.773939264637
1300 Block Of Market  Street,San Francisco,,M181997,2018-07-02T00:00:00.000,CA,6.0,94102.0,Capital Improvement,-122.416017227272,37.773939264637
2000 Block Of Mission  Street,San Francisco,,M182017,2018-07-03T00:00:00.000,CA,9.0,94109.0,Nuisance,-122.416017227272,37.773939264637
300 Block Of Leavenworth  Street,San Francisco,,M182045,2018-07-09T00:00:00.000,CA,6.0,94102.0,Nuisance,-122.416017227272,37.773939264637
2300 Block Of Kirkham  Street,San Francisco,,M182024,2018-07-05T00:00:00.000,CA,4.0,94122.0,Nuisance,-122.416017227272,37.773939264637
1800 Block Of 48th  Avenue,San Francisco,2012-08-15T00:00:00.000,M090573,2009-08-18T00:00:00.000,CA,4.0,94122.0,Owner Move In,-122.416017227272,37.773939264637
1100 Block Of Jackson  Street,San Francisco,,M181316,2018-04-30T00:00:00.000,CA,3.0,94133.0,Owner Move In,-122.416017227272,37.773939264637
900 Block Of Leavenworth  Street,San Francisco,,M181962,2018-06-29T00:00:00.000,CA,3.0,94109.0,Capital Improvement,-122.416017227272,37.773939264637
3600 Block Of Vicente  Street,San Francisco,,M182218,2018-07-24T00:00:00.000,CA,4.0,94116.0,Nuisance,-122.416017227272,37.773939264637
1700 Block Of La Salle  Avenue,San Francisco,,M182219,2018-07-25T00:00:00.000,CA,10.0,94124.0,Late Payments,-122.416017227272,37.773939264637
200 Block Of Mullen  Avenue,San Francisco,,M182068,2018-07-12T00:00:00.000,CA,9.0,94110.0,Non-payment,-122.416017227272,37.773939264637
1300 Block Of 11th  Avenue,San Francisco,2023-09-18T00:00:00.000,M181948,2018-07-23T00:00:00.000,CA,5.0,94122.0,Owner Move In,-122.416017227272,37.773939264637
900 Block Of Silliman  Street,San Francisco,,M182239,2018-07-30T00:00:00.000,CA,9.0,94134.0,Non-payment,-122.416017227272,37.773939264637
1000 Block Of Howard  Street,San Francisco,,M182329,2018-08-01T00:00:00.000,CA,6.0,94103.0,Non-payment,-122.416017227272,37.773939264637
200 Block Of Mullen  Avenue,San Francisco,,M182141,2018-07-19T00:00:00.000,CA,9.0,94110.0,Non-payment,-122.416017227272,37.773939264637
400 Block Of 9th  Avenue,San Francisco,,M182220,2018-07-25T00:00:00.000,CA,1.0,94118.0,Breach,-122.416017227272,37.773939264637
2000 Block Of Pacific  Avenue,San Francisco,,M182146,2018-07-23T00:00:00.000,CA,2.0,94109.0,Nuisance,-122.416017227272,37.773939264637
2700 Block Of Clay  Street,San Francisco,,M182022,2018-07-11T00:00:00.000,CA,2.0,94115.0,Ellis Act Withdrawal,-122.416017227272,37.773939264637
300 Block Of 23rd  Avenue,San Francisco,,M182071,2018-07-12T00:00:00.000,CA,1.0,94121.0,Nuisance,-122.416017227272,37.773939264637
600 Block Of Linden  Street,San Francisco,,M182094,2018-07-16T00:00:00.000,CA,5.0,94102.0,Breach,-122.416017227272,37.773939264637
200 Block Of Theresa  Street,San Francisco,,M182095,2018-07-16T00:00:00.000,CA,11.0,94112.0,Other Cause,-122.416017227272,37.773939264637
1300 Block Of Market  Street,San Francisco,,M182208,2018-07-23T00:00:00.000,CA,6.0,94102.0,Capital Improvement,-122.416017227272,37.773939264637
1300 Block Of Market  Street,San Francisco,,M182331,2018-08-01T00:00:00.000,CA,6.0,94102.0,Capital Improvement,-122.416017227272,37.773939264637
1400 Block Of Oak  Street,San Francisco,,M182147,2018-07-23T00:00:00.000,CA,5.0,94117.0,Nuisance,-122.416017227272,37.773939264637
800 Block Of Fulton  Street,San Francisco,,M182096,2018-07-16T00:00:00.000,CA,5.0,94117.0,Breach,-122.416017227272,37.773939264637
300 Block Of Laguna  Street,San Francisco,,M182320,2018-07-31T00:00:00.000,CA,5.0,94102.0,Late Payments,-122.416017227272,37.773939264637
0 Block Of Turk  Street,San Francisco,,M182236,2018-07-30T00:00:00.000,CA,6.0,94102.0,Nuisance,-122.416017227272,37.773939264637
3300 Block Of 25th  Avenue,San Francisco,,E981281,1998-06-12T00:00:00.000,CA,,94132.0,Owner Move In,-122.416017227272,37.773939264637
200 Block Of 7th  Avenue,San Francisco,,M180657,2018-03-05T00:00:00.000,CA,1.0,94118.0,Owner Move In,-122.416017227272,37.773939264637
1300 Block Of Market  Street,San Francisco,,M182207,2018-07-23T00:00:00.000,CA,6.0,94102.0,Capital Improvement,-122.416017227272,37.773939264637
2800 Block Of Harrison  Street,San Francisco,,M182266,2018-07-23T00:00:00.000,CA,9.0,94110.0,Ellis Act Withdrawal,-122.416017227272,37.773939264637
1900 Block Of Green  Street,San Francisco,,M182100,2018-07-16T00:00:00.000,CA,2.0,94123.0,Breach,-122.416017227272,37.773939264637
1300 Block Of Market  Street,San Francisco,,M182085,2018-07-13T00:00:00.000,CA,6.0,94102.0,Capital Improvement,-122.416017227272,37.773939264637
200 Block Of Eddy  Street,San Francisco,,M182238,2018-07-30T00:00:00.000,CA,6.0,94102.0,Failure to Sign Renewal,-122.416017227272,37.773939264637
1300 Block Of Market  Street,San Francisco,,M182232,2018-07-30T00:00:00.000,CA,6.0,94102.0,Capital Improvement,-122.416017227272,37.773939264637
1900 Block Of Green  Street,San Francisco,,M182098,2018-07-16T00:00:00.000,CA,2.0,94123.0,Breach,-122.416017227272,37.773939264637
600 Block Of Bush  Street,San Francisco,,M182241,2018-07-30T00:00:00.000,CA,3.0,94108.0,Breach,-122.416017227272,37.773939264637
900 Block Of Silliman  Street,San Francisco,,M182235,2018-07-30T00:00:00.000,CA,9.0,94134.0,Breach,-122.416017227272,37.773939264637
1300 Block Of Market  Street,San Francisco,,M182086,2018-07-13T00:00:00.000,CA,6.0,94102.0,Capital Improvement,-122.416017227272,37.773939264637
1400 Block Of Guerrero  Street,San Francisco,,M182111,2018-07-17T00:00:00.000,CA,8.0,94110.0,Illegal Use,-122.416017227272,37.773939264637
0 Block Of Stoneyford  Avenue,San Francisco,,M180063,2018-01-10T00:00:00.000,CA,9.0,94112.0,Owner Move In,-122.416017227272,37.773939264637
900 Block Of South Van Ness  Avenue,San Francisco,2023-09-14T00:00:00.000,M181947,2018-07-18T00:00:00.000,CA,9.0,94110.0,Owner Move In,-122.416017227272,37.773939264637
0 Block Of Rivas  Avenue,San Francisco,,M182105,2018-07-16T00:00:00.000,CA,7.0,94132.0,Breach,-122.416017227272,37.773939264637
0 Block Of Stoneyford  Avenue,San Francisco,,M181125,2018-04-04T00:00:00.000,CA,9.0,94112.0,Owner Move In,-122.416017227272,37.773939264637
1000 Block Of Howard  Street,San Francisco,,M182328,2018-08-01T00:00:00.000,CA,6.0,94103.0,Non-payment,-122.416017227272,37.773939264637
500 Block Of Shotwell  Street,San Francisco,,M182065,2018-07-10T00:00:00.000,CA,9.0,94110.0,Other Cause,-122.416017227272,37.773939264637
1300 Block Of Sacramento  Street,San Francisco,2023-09-21T00:00:00.000,M182287,2018-07-24T00:00:00.000,CA,3.0,94109.0,Owner Move In,-122.416017227272,37.773939264637
300 Block Of Collingwood  Street,San Francisco,2023-09-28T00:00:00.000,M182290,2018-08-01T00:00:00.000,CA,8.0,94114.0,Owner Move In,-122.416017227272,37.773939264637
400 Block Of 18th  Avenue,San Francisco,2023-09-28T00:00:00.000,M182289,2018-08-01T00:00:00.000,CA,1.0,94121.0,Owner Move In,-122.416017227272,37.773939264637
100 Block Of Cambon  Creek,San Francisco,,M182225,2018-07-25T00:00:00.000,CA,,94132.0,Breach,-122.416017227272,37.773939264637
2200 Block Of 22nd  Avenue,San Francisco,,M181401,2018-05-07T00:00:00.000,CA,4.0,94116.0,Owner Move In,-122.416017227272,37.773939264637
3300 Block Of Clay  Street,San Francisco,,M182143,2018-07-19T00:00:00.000,CA,2.0,94118.0,Nuisance,-122.416017227272,37.773939264637
900 Block Of Steiner  Street,San Francisco,,M182330,2018-08-01T00:00:00.000,CA,5.0,94117.0,Breach,-122.416017227272,37.773939264637
2500 Block Of Sacramento  Street,San Francisco,,M182240,2018-07-30T00:00:00.000,CA,2.0,94115.0,Nuisance,-122.416017227272,37.773939264637
600 Block Of Ellis  Street,San Francisco,,M182230,2018-07-30T00:00:00.000,CA,6.0,94102.0,Nuisance,-122.416017227272,37.773939264637
300 Block Of Moultrie  Street,San Francisco,,M182145,2018-07-20T00:00:00.000,CA,9.0,94110.0,Nuisance,-122.416017227272,37.773939264637
500 Block Of Gonzalez  Drive,San Francisco,,M182223,2018-07-26T00:00:00.000,CA,7.0,94132.0,Breach,-122.416017227272,37.773939264637
1300 Block Of Market  Street,San Francisco,,M182148,2018-07-23T00:00:00.000,CA,6.0,94102.0,Capital Improvement,-122.416017227272,37.773939264637
100 Block Of Mason  Street,San Francisco,,M182067,2018-07-11T00:00:00.000,CA,3.0,94102.0,Capital Improvement,-122.416017227272,37.773939264637
400 Block Of Visitacion  Avenue,San Francisco,,M182327,2018-08-01T00:00:00.000,CA,10.0,94134.0,Access Denial,-122.416017227272,37.773939264637
1900 Block Of Jackson  Street,San Francisco,,M182267,2018-07-24T00:00:00.000,CA,2.0,94109.0,Ellis Act Withdrawal,-122.416017227272,37.773939264637
1300 Block Of Market  Street,San Francisco,,M182234,2018-07-30T00:00:00.000,CA,6.0,94102.0,Capital Improvement,-122.416017227272,37.773939264637
0 Block Of Bucareli  Drive,San Francisco,,M182066,2018-07-11T00:00:00.000,CA,7.0,94132.0,Breach,-122.416017227272,37.773939264637
0 Block Of Higuera  Avenue,San Francisco,,M182104,2018-07-16T00:00:00.000,CA,7.0,94132.0,Breach,-122.416017227272,37.773939264637
1500 Block Of Oakdale  Avenue,San Francisco,,M182326,2018-08-01T00:00:00.000,CA,10.0,94124.0,Breach,-122.416017227272,37.773939264637
100 Block Of Cambon  Drive,San Francisco,,M182224,2018-07-26T00:00:00.000,CA,7.0,94132.0,Breach,-122.416017227272,37.773939264637
300 Block Of Serrano  Drive,San Francisco,,M182102,2018-07-16T00:00:00.000,CA,7.0,94132.0,Breach,-122.416017227272,37.773939264637
400 Block Of Jones  Street,San Francisco,,M182222,2018-07-26T00:00:00.000,CA,6.0,94102.0,Breach,-122.416017227272,37.773939264637
1300 Block Of Market  Street,San Francisco,,M182084,2018-07-13T00:00:00.000,CA,6.0,94102.0,Capital Improvement,-122.416017227272,37.773939264637
1300 Block Of Market  Street,San Francisco,,M182233,2018-07-30T00:00:00.000,CA,6.0,94102.0,Capital Improvement,-122.416017227272,37.773939264637
500 Block Of Pierce  Street,San Francisco,,M182064,2018-07-10T00:00:00.000,CA,5.0,94117.0,Nuisance,-122.416017227272,37.773939264637
100 Block Of Vienna  Street,San Francisco,,M182069,2018-07-12T00:00:00.000,CA,11.0,94112.0,Breach,-122.416017227272,37.773939264637
0 Block Of Stoneyford  Avenue,San Francisco,,M181126,2018-04-04T00:00:00.000,CA,9.0,94112.0,Owner Move In,-122.416017227272,37.773939264637
2700 Block Of Clay  Street,San Francisco,,M182015,2018-07-10T00:00:00.000,CA,2.0,94115.0,Ellis Act Withdrawal,-122.416017227272,37.773939264637
0 Block Of Stoneyford  Avenue,San Francisco,,M180062,2018-01-10T00:00:00.000,CA,9.0,94112.0,Owner Move In,-122.416017227272,37.773939264637
100 Block Of Leese  Street,San Francisco,,M182112,2018-07-17T00:00:00.000,CA,9.0,94110.0,Non-payment,-122.416017227272,37.773939264637
200 Block Of Parker  Avenue,San Francisco,,M182150,2018-07-16T00:00:00.000,CA,1.0,94118.0,Ellis Act Withdrawal,-122.416017227272,37.773939264637
4400 Block Of Anza  Street,San Francisco,,M182144,2018-07-13T00:00:00.000,CA,1.0,94121.0,Capital Improvement,-122.416017227272,37.773939264637
300 Block Of Serrano  Drive,San Francisco,,M182107,2018-07-16T00:00:00.000,CA,7.0,94132.0,Breach,-122.416017227272,37.773939264637
100 Block Of Tapia  Drive,San Francisco,,M182101,2018-07-16T00:00:00.000,CA,7.0,94132.0,Breach,-122.416017227272,37.773939264637
400 Block Of Eddy  Street,San Francisco,,M182082,2018-07-13T00:00:00.000,CA,6.0,94109.0,Nuisance,-122.416017227272,37.773939264637
1900 Block Of Pierce  Street,San Francisco,,M182319,2018-07-31T00:00:00.000,CA,2.0,94115.0,Late Payments,-122.416017227272,37.773939264637
400 Block Of Columbus  Avenue,San Francisco,,M182142,2018-07-19T00:00:00.000,CA,3.0,94133.0,Illegal Use,-122.416017227272,37.773939264637
100 Block Of Balboa  Street,San Francisco,,M182099,2018-07-16T00:00:00.000,CA,1.0,94118.0,Nuisance,-122.416017227272,37.773939264637
